ID;ACCESSION;DEFINITION;VERSION;REFERENCE;ORGANISM;AUTHORS;TITLE;Assembly Method;Sequencing Technology;Location/Qualifiers;mol_type;strain;host;geo_loc_name;collection_date;Date_Soumission
ON809572.1;"ON809572
";"Enterovirus C116 strain EV-C116_Wastewater_18/08/15_CFD_France
";"ON809572.1
";"1  (bases 1 to 7385)
";"Enterovirus C116
";"Bisseux,M., Mirand,A., Colombet,J., Bailly,J.L. and Henquell,C.
";"Complete Genome Sequence of an Enterovirus Type C116 Strain
";"SMRT link v. 25/07/2019
";"PacBio
";"         1..7385
";"""genomic RNA""";"""EV-C116_Wastewater_18/08/15_CFD_France""";NA;"""France: ARA, Clermont-Ferrand""";"""18-Aug-2015""";"07-MAY-2024
"
GU265819.1;"GU265819
";"Human enterovirus 109 isolate 4733 5' UTR; and polyprotein-like
";"GU265819.1
";"1  (bases 1 to 350)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..350
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""14-Jan-2008""";"14-OCT-2011
"
GU265818.1;"GU265818
";"Human enterovirus 109 isolate 2751 5' UTR; and polyprotein gene,
";"GU265818.1
";"1  (bases 1 to 337)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""23-Apr-2008""";"14-OCT-2011
"
GU265817.1;"GU265817
";"Human enterovirus 109 isolate 4323 5' UTR; and polyprotein gene,
";"GU265817.1
";"1  (bases 1 to 361)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..361
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""27-Jan-2008""";"14-OCT-2011
"
GU265816.1;"GU265816
";"Human enterovirus 109 isolate 1578 5' UTR; and polyprotein gene,
";"GU265816.1
";"1  (bases 1 to 328)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..328
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""15-Apr-2008""";"14-OCT-2011
"
JQ040525.1;"JQ040525
";"Human enterovirus 99 strain AFP4305-201029193 3D polymerase gene,
";"JQ040525.1
";"1  (bases 1 to 231)
";"Enterovirus C99
";"Cabrerizo,M., Rabella,N., Torner,N., Castellanos,T., Bustillo,I.,
";"Molecular identification of an enterovirus 99 strain in Spain
";NA;NA;"         1..231
";"""genomic RNA""";"""AFP4305-201029193""";"""Homo sapiens""";"""Spain""";"""2010""";"15-MAR-2012
"
JN408585.1;"JN408585
";"Human enterovirus 99 strain AFP4305-SP201029193 5' UTR.
";"JN408585.1
";"1  (bases 1 to 263)
";"Enterovirus C99
";"Cabrerizo,M., Rabella,N., Torner,N., Castellanos,T., Bustillo,I.,
";"Molecular identification of an enterovirus 99 strain in Spain
";NA;NA;"         1..263
";"""genomic RNA""";"""AFP4305-SP201029193""";"""Homo sapiens""";"""Spain""";"""2010""";"15-MAR-2012
"
JN408584.1;"JN408584
";"Human enterovirus 99 strain AFP4305-201029193 capsid protein gene,
";"JN408584.1
";"1  (bases 1 to 387)
";"Enterovirus C99
";"Cabrerizo,M., Rabella,N., Torner,N., Castellanos,T., Bustillo,I.,
";"Molecular identification of an enterovirus 99 strain in Spain
";NA;NA;"         1..387
";"""genomic RNA""";"""AFP4305-201029193""";"""Homo sapiens""";"""Spain""";"""2010""";"15-MAR-2012
"
PP756365.1;"PP756365
";"Enterovirus C99 strain EV-C99_Wastewater_18/08/15_CFD_FRA_2015,
";"PP756365.1
";"1  (bases 1 to 7445)
";"Enterovirus C99
";"Bisseux,M., Mirand,A., Henquell,C. and Bailly,J.-L.
";"Direct Submission
";"SMRT link v. 25/07/2019
";"PacBio
";"         1..7445
";"""genomic RNA""";"""EV-C99_Wastewater_18/08/15_CFD_FRA_2015""";"""Homo sapiens""";"""France: ARA, Clermont-Ferrand""";"""18-Aug-2015""";"12-MAY-2024
"
MT491239.1;"MT491239
";"Enterovirus C99 isolate 3375/EV99/BRA/2010/PA VP1 gene, partial
";"MT491239.1
";"1  (bases 1 to 337)
";"Enterovirus C99
";"Machado,R.S., de Sousa,I.P. Jr., Monteiro,J.C., Ferreira,J.L., Dos
";"Detection and identification of enteroviruses circulating in
";NA;"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";"""Hu/BRA/2010/EV99/PA""";"""Homo sapiens""";"""Brazil""";"""2010""";"01-NOV-2020
"
AB686524.1;"AB686524
";"Enterovirus C104 genomic RNA, complete genome, strain: AK11.
";"AB686524.1
";"1
";"Enterovirus C104
";"Kaida,A., Kubo,H., Sekiguchi,J., Hase,A. and Iritani,N.
";"Enterovirus 104 infection in adult, Japan, 2011
";NA;NA;"         1..7408
";"""genomic RNA""";"""AK11""";"""Homo sapiens""";"""Japan:Osaka City""";"""2011-02""";"03-JUL-2020
"
GU131227.1;"GU131227
";"Human enterovirus 109 isolate 4733 viral protein 1 gene, partial
";"GU131227.1
";"1  (bases 1 to 888)
";"Enterovirus C109
";"Yozwiak,N.L., Skewes-Cox,P., Gordon,A., Saborio,S., Kuan,G.,
";"Human enterovirus 109: a novel interspecies recombinant enterovirus
";NA;NA;"         1..888
";"""genomic RNA""";NA;"""Homo sapiens""";"""Nicaragua""";"""Jan-2008""";"25-JUL-2016
"
