Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 1,JX275352_Nigeria_Poliovirus-2,Recombinant, 20.2161897444443, 20, 10, 10, 5, 10, 8, 18, 8, 8, 9.779880607961, 1.17391304347826, 0, 2, 20, 5, 0, 15,
 1,JX274999_Nigeria_Poliovirus-2,MajorParent, 6.40866178187304, 10, 0, 5, 10, 0, 0, 0, 4, 4, 7.02468916486322, 4.16304347826087, 4, 1, 0, 2.5, 0, 20,
 1,KJ170530_Nigeria_Poliovirus-1,MinorParent, 3.37514847368269, 0, 10, 0, 0, 0, 4, 14, 0, 0, 3.19543022717578, 0, 2, 0, 10, 0, 0, 0,
 2,MG212481_Russia_Poliovirus-3,Recombinant, 21.6439652524529, 20, 10, 10, 5, 0, 8, 18, 8, 4, 9.91577007134544, 0, 2, 2, 20, 2.5, 0, 20,
 2,HQ738302_Madagascar_Enterovirus-C,MajorParent, 8.35603474754707, 0, 5, 5, 10, 0, 4, 14, 4, 8, 5.75391701629822, 1.84182015167931, 0, 1, 10, 5, 5, 15,
 2,ON596438_Nigeria_Poliovirus-2,MinorParent, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4.33031291235634, 0, 4, 0, 0, 0, 0, 0,
 3,MG212470_Russia_Poliovirus-3,Recombinant, 12.3606878138508, 20, 10, 10, 5, 0, 4, 14, 8, 0, 9.41994958980928, 0, 2, 2, 20, 2.5, 5, 0,
 3,JX275206_Nigeria_Poliovirus-2,MajorParent, 10.0073631927523, 0, 5, 5, 0, 10, 8, 18, 4, 4, 6.5636916173075, 4.47567567567568, 0, 1, 0, 0, 0, 20,
 3,MZ245455_USA_Poliovirus-2,MinorParent, 7.6319489933969, 10, 0, 0, 10, 0, 0, 0, 0, 8, 4.01635879288321, .756756756756757, 4, 0, 10, 5, 5, 15,
 4,OR253701_USA_Poliovirus-1,Recombinant, 22.9669556857984, 20, 10, 10, 10, 0, 8, 18, 8, 0, 10.1476445250555, 0, 4, 2, 20, 5, 5, 20,
 4,JX275184_Nigeria_Poliovirus-2,MajorParent, 3.13911383466897, 0, 0, 5, 0, 0, 4, 14, 4, 4, 6.7228915872211, 3.16414686825054, 0, 1, 0, 0, 0, 15,
 4,MZ245455_USA_Poliovirus-2,MinorParent, 3.89393047953261, 10, 5, 0, 5, 10, 0, 0, 0, 8, 3.12946388772335, 1.05831533477322, 2, 0, 10, 2.5, 5, 0,
 5,OP137275_Israel_Poliovirus-3,Recombinant, 10.590339072861, 20, 10, 0, 10, 0, 0, 0, 0, 0, 6.04620693167378, 0, 4, 2, 20, 2.5, 5, 15,
 5,KX162716_Nigeria_Poliovirus-2,MajorParent, 10.2978721622908, 0, 0, 10, 0, 0, 4, 14, 8, 4, 7.21134609562179, 3.9697950377562, 0, 0, 0, 0, 0, 20,
 5,MG212457_Russia_Poliovirus-2,MinorParent, 9.11178876484815, 10, 5, 5, 5, 10, 8, 18, 4, 8, 6.74244697270443, 1.15426105717368, 2, 1, 10, 5, 5, 0,
 6,MG212466_Russia_Poliovirus-3,Recombinant, 22.07063832185, 20, 10, 10, 10, 10, 8, 18, 8, 8, 11.7660570089359, 0, 4, 2, 20, 5, 0, 20,
