Recombination Event Number; Number In .RDP File; Begin; End;Begin; End;Begin; End; Recombinant Sequence(s); Minor Parental Sequence(s); Major Parental Sequence(s); RDP; GENECONV; Bootscan; Maxchi; Chimaera; SiSscan;PhylPro; LARD; 3Seq
1;1;3920;1;3920;1;3917;1;JX275352_Nigeria_Poliovirus-2;KJ170530_Nigeria_Poliovirus-1;JX274999_Nigeria_Poliovirus-2; 2.54508013702036E-186; 3.25009513774546E-172; 7.73349705331514E-178; 7.61189807267604E-46; 5.9733309485955E-46; 1.6539546515393E-54;NS;NS; 2.03638016944854E-266
2;2;3036;5624;3036;5624;3033;5611;MG212481_Russia_Poliovirus-3;ON596438_Nigeria_Poliovirus-2;HQ738302_Madagascar_Enterovirus-C; 1.08611369772379E-186; 1.45831658987813E-169; 1.26287741356578E-171; 1.78658007122965E-61; 2.28037349339519E-52; 2.72299395944321E-77;NS;NS; 7.02323169370648E-281
3;3;3442;12;3442;12;3439;12;^MG212470_Russia_Poliovirus-3;MZ245455_USA_Poliovirus-2;Unknown (JX275206_Nigeria_Poliovirus-2); 2.5234590296221E-184; 6.64233579526407E-171; 3.29321292377417E-181; 8.37836118117158E-52; 1.75961544674745E-52; 1.03915668687215E-48;NS;NS; 2.96635521500822E-298
4;4;2368;10;2368;10;2365;10;OR253701_USA_Poliovirus-1;MZ245455_USA_Poliovirus-2;Unknown (JX275184_Nigeria_Poliovirus-2); 5.31604878958225E-181; 3.43608702554151E-149; 1.40859891256158E-181; 3.13599207256539E-60;NS;NS;NS;NS; 7.71076986463446E-303
5;5;3879;6280;3879;6280;3876;6264;^OP137275_Israel_Poliovirus-3;MG212457_Russia_Poliovirus-2;Unknown (KX162716_Nigeria_Poliovirus-2); 8.15453732403699E-195; 3.51665554519942E-181; 1.22722154596901E-189; 2.54599284580915E-48; 1.84645526212878E-48; 1.27072606022164E-59;NS;NS; 1.31646549801998E-281
6;6;2345;5020;2345;5020;2342;5007;MG212466_Russia_Poliovirus-3;MG212459_Russia_Poliovirus-2;KJ170670_Nigeria_Poliovirus-3; 6.47551802868025E-181; 4.44482706126682E-165; 8.1953899764766E-175; 1.89957583640221E-48; 1.03255524954123E-48; 1.47303605232336E-59;NS;NS; 1.60742729927207E-270
7;7;2586;5815;2586;5815;2583;5802;MG212479_Russia_Poliovirus-1;KX162717_Nigeria_Poliovirus-2;PP506140_Tunisia_Poliovirus-1; 9.92085204386963E-176; 4.4676808309181E-147; 3.78423344893828E-165; 3.50970313458671E-55; 1.51836950982882E-55; 4.48400512924259E-64;NS;NS; 3.672471E-293
8;8;4003;6267;4003;6267;4000;6252;OQ451883_China_Poliovirus-3;KJ170530_Nigeria_Poliovirus-1;KJ170677_Nigeria_Poliovirus-3; 1.2134549121173E-175; 4.71544281742829E-171; 5.96097205298345E-176; 3.09616187631949E-39; 2.5616822629177E-39; 5.26104722818907E-48;NS;NS; 1.3055215487044E-241
9;9;2664;5624;2664;5624;2661;5611;MG212472_Russia_Poliovirus-1;KX162717_Nigeria_Poliovirus-2;KJ170531_Nigeria_Poliovirus-1; 2.08366077167134E-175; 6.66883856081385E-157; 1.21147239641355E-170; 3.51148313983954E-52; 1.48989764941771E-52; 3.88457017323328E-60;NS;NS; 1.02290968461526E-311
10;10;2826;1;2826;1;2823;1;OP137283_Israel_Poliovirus-3;ON596438_Nigeria_Poliovirus-2;HQ738302_Madagascar_Enterovirus-C; 2.52137517893874E-179; 4.6857748402549E-145; 3.3450487847365E-171; 2.05491447065849E-57; 6.967487532402E-58; 1.24032034881938E-73;NS;NS; 4.53715119406231E-301
